time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0.1,0.0010614552,0.0011213535,0.0015845334,-3.0601393e-05,-2.6841518e-05,-1.6396519e-06,2.9193875e-06,-3.2212234e-06,0.76554692,-3.8016485e-07,4.3680459e-07,0.026443599,5107.1528,5106.8261,5106.8479,5106.6145,5106.9412,5106.9194,51.262692,51.258638,51.258909,51.256012,51.260066,51.259796,-1.1704844e-05,-1.0794273e-05,0,3,0,0,0.0016005303,0.0016327421,21.676149,0.99994501,0.99994501,0.99994501,0.99994501,0.99994501,0.99994501
0.11,0.00097925544,0.0010397576,0.001535842,-3.6321328e-05,-3.1960572e-05,-1.9713854e-06,4.266958e-06,-4.6665725e-06,0.88531815,-5.8751769e-07,6.7423637e-07,0.034697747,5021.764,5021.4578,5021.4838,5021.2624,5021.5687,5021.5427,50.203068,50.199268,50.19959,50.196843,50.200644,50.200321,-1.573104e-05,-1.4653126e-05,0,3,0,0,0.0015489234,0.0015932428,21.788694,0.99997938,0.99997938,0.99997938,0.99997938,0.99997938,0.99997938
0.12,-0.0010776789,-0.00101545,-0.00047677872,-4.246627e-05,-3.7492663e-05,-2.3364501e-06,6.0981325e-06,-6.6195558e-06,1.0051532,-8.6461632e-07,9.9092243e-07,0.044150764,4934.5322,4934.7861,4934.8487,4934.9883,4934.7344,4934.6718,49.120572,49.123723,49.1245,49.126232,49.123081,49.122305,-2.1330997e-05,-1.998647e-05,0,3,0,0,-0.00046750365,-0.0004076238,21.793067,0.99999227,0.99999227,0.99999227,0.99999227,0.99999227,0.99999227
0.13,0.0032840549,0.0033465317,0.0039214073,-4.9079965e-05,-4.347974e-05,-2.7384788e-06,8.5084873e-06,-9.1785502e-06,1.1241109,-1.2233633e-06,1.4000802e-06,0.05479848,4848.2129,4847.2689,4847.264,4846.6273,4847.5713,4847.5762,48.0494,48.037686,48.037625,48.029724,48.041439,48.0415,-2.8079055e-05,-2.6434787e-05,0,3,0,0,0.0039375616,0.0039893645,21.709733,0.9999971,0.9999971,0.9999971,0.9999971,0.9999971,0.9999971
0.14,-0.0023668733,-0.0023027568,-0.0016808995,-5.6094793e-05,-4.9866898e-05,-3.1754148e-06,1.1494533e-05,-1.2327245e-05,1.2413677,-1.6761951e-06,1.9154328e-06,0.066627904,4759.6738,4760.2743,4760.3642,4760.7253,4760.1248,4760.0349,46.950682,46.958134,46.959249,46.963731,46.956279,46.955163,-3.4818729e-05,-3.3002322e-05,0,3,0,0,-0.0016761712,-0.0015912857,21.534046,0.99999891,0.99999891,0.99999891,0.99999891,0.99999891,0.99999891
0.15,-0.0074963578,-0.0074310801,-0.0067630456,-6.3714455e-05,-5.6833879e-05,-3.6589984e-06,1.5320305e-05,-1.6358185e-05,1.3562139,-2.235926e-06,2.5510285e-06,0.079618381,4671.9968,4673.9982,4674.1741,4675.4403,4673.4389,4673.263,45.862663,45.887499,45.889681,45.905394,45.880558,45.878376,-4.4727696e-05,-4.2444721e-05,0,3,0,0,-0.0067468605,-0.0066780247,21.287902,0.99999959,0.99999959,0.99999959,0.99999959,0.99999959,0.99999959
0.16,-0.0056374079,-0.0055831121,-0.0049409888,-7.1470513e-05,-6.3977996e-05,-4.1667511e-06,1.9480729e-05,-2.0676124e-05,1.4680483,-2.9158501e-06,3.3213598e-06,0.093742711,4587.2224,4588.7187,4588.8631,4589.8042,4588.3079,4588.1635,44.810662,44.82923,44.831022,44.842701,44.824133,44.822341,-4.8732919e-05,-4.6904996e-05,0,3,0,0,-0.0048635135,-0.0049274989,20.988553,0.99999985,0.99999985,0.99999985,0.99999985,0.99999985,0.99999985
0.17,0.0051224056,0.005152075,0.0056858865,-7.8311458e-05,-7.0390548e-05,-4.6463553e-06,2.2633991e-05,-2.3721484e-05,1.5763724,-3.7288152e-06,4.2402983e-06,0.1089682,4506.2498,4504.815,4504.7802,4503.8294,4505.2643,4505.2991,43.80584,43.788034,43.787603,43.775805,43.79361,43.794042,-3.6687586e-05,-3.7582274e-05,0,3,0,0,0.0058242546,0.0056176008,20.648146,0.99999994,0.99999994,0.99999994,0.99999994,0.99999994,0.99999994
0.18,-0.001844932,-0.0018376292,-0.0013996159,-8.3698424e-05,-7.5604513e-05,-5.071112e-06,2.394907e-05,-2.4529136e-05,1.680783,-4.6854731e-06,5.3190818e-06,0.12525765,4423.2446,4423.7374,4423.8113,4424.1113,4423.6186,4423.5447,42.775795,42.781909,42.782827,42.78655,42.780435,42.779518,-1.4223744e-05,-1.9315124e-05,0,3,0,0,-0.0012904156,-0.0014435861,20.249698,0.99999998,0.99999998,0.99999998,0.99999998,0.99999998,0.99999998
0.19,-0.0034391923,-0.0034485272,-0.0030740555,-8.8165011e-05,-8.0079307e-05,-5.4683692e-06,2.4048948e-05,-2.3818551e-05,1.7809641,-5.7935051e-06,6.565433e-06,0.14257027,4343.9218,4344.8645,4344.9621,4345.5556,4344.6129,4344.5154,41.791445,41.803144,41.804354,41.811719,41.800021,41.798811,1.584848e-06,-6.840517e-06,0,3,0,0,-0.0029755084,-0.0031104273,19.825077,0.99999999,0.99999999,0.99999999,0.99999999,0.99999999,0.99999999
