time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0.1,0.001061455,0.0029870083,0.0015845333,-3.0601425e-05,2.1827697e-05,-1.6406396e-06,-1.3335726e-05,-3.2212269e-06,0.76554692,-3.8672516e-08,4.3680444e-07,0.026443599,5106.2681,5105.9414,5106.8479,5107.4992,5107.8258,5106.9194,51.251714,51.24766,51.258909,51.26699,51.271044,51.259796,-1.1715369e-05,0.0064701725,0,3,0.02,0,0.0017925874,0.0016327423,21.676149,0.99994501,0.99994501,0.99994501,0.99994501,0.99994501,0.99994501
0.11,0.00097925503,0.0034476303,0.0015358419,-3.6321382e-05,3.8014254e-05,-1.9730883e-06,-2.3853076e-05,-4.6665817e-06,0.88531816,2.4270578e-08,6.7423601e-07,0.034697747,5020.8186,5020.5123,5021.4837,5022.2078,5022.5141,5021.5427,50.191336,50.187535,50.19959,50.208575,50.212376,50.200321,-1.5744989e-05,0.0071527987,0,3,0.022,0,0.0018077117,0.0015932431,21.788695,0.99997938,0.99997938,0.99997938,0.99997938,0.99997938,0.99997938
0.12,-0.0010776797,0.0020085018,-0.00047677878,-4.246636e-05,5.9580642e-05,-2.3392231e-06,-3.9556299e-05,-6.6195769e-06,1.0051532,1.7105779e-07,9.9092168e-07,0.044150764,4933.5309,4933.7848,4934.8487,4935.9896,4935.7356,4934.6718,49.108147,49.111298,49.1245,49.138658,49.135506,49.122305,-2.1349086e-05,0.0078496355,0,3,0.024,0,-0.00013369769,-0.00040762336,21.793068,0.99999227,0.99999227,0.99999227,0.99999227,0.99999227,0.99999227
0.13,0.0032840538,0.0070582044,0.0039214073,-4.908011e-05,8.7213206e-05,-2.7427941e-06,-6.189561e-05,-9.1785931e-06,1.1241109,4.4853618e-07,1.4000787e-06,0.05479848,4847.1603,4846.2163,4847.2639,4847.6799,4848.6239,4847.5762,48.036338,48.024624,48.037625,48.042786,48.054501,48.0415,-2.8102107e-05,0.0085630562,0,3,0.026,0,0.0043528291,0.0039893651,21.709734,0.9999971,0.9999971,0.9999971,0.9999971,0.9999971,0.9999971
0.14,-0.0023668751,0.0021652201,-0.0016808996,-5.6095018e-05,0.00012166857,-3.1818817e-06,-9.2535295e-05,-1.2327325e-05,1.2413677,9.1577611e-07,1.9154302e-06,0.066627904,4758.574,4759.1744,4760.3641,4761.8251,4761.2246,4760.0349,46.937034,46.944486,46.959249,46.977379,46.969927,46.955163,-3.4847629e-05,0.0092957151,0,3,0.028,0,-0.0011751049,-0.0015912846,21.534046,0.99999891,0.99999891,0.99999891,0.99999891,0.99999891,0.99999891
0.15,-0.0074963602,-0.0021418973,-0.0067630458,-6.3714796e-05,0.00016343484,-3.6683893e-06,-0.00013294403,-1.6358325e-05,1.3562139,1.6447837e-06,2.551024e-06,0.079618381,4670.8534,4672.8548,4674.1741,4676.5837,4674.5824,4673.263,45.848473,45.873309,45.889681,45.919584,45.894748,45.878376,-4.4763559e-05,0.010046103,0,3,0.03,0,-0.0061578841,-0.0066780234,21.287902,0.99999959,0.99999959,0.99999959,0.99999959,0.99999959,0.99999959
0.16,-0.0056374105,0.0005880706,-0.0049409891,-7.1471006e-05,0.00021354346,-4.1800213e-06,-0.00018538689,-2.0676349e-05,1.4680483,2.7206694e-06,3.3213525e-06,0.093742711,4586.0384,4587.5347,4588.8631,4590.9881,4589.4919,4588.1635,44.79597,44.814538,44.831022,44.857393,44.838825,44.822341,-4.8776638e-05,0.010822882,0,3,0.032,0,-0.0041867338,-0.0049274981,20.988553,0.99999985,0.99999985,0.99999985,0.99999985,0.99999985,0.99999985
0.17,0.0051224031,0.012261691,0.0056858862,-7.8312126e-05,0.00027348941,-4.6646108e-06,-0.00025294932,-2.3721806e-05,1.5763724,4.2425764e-06,4.2402867e-06,0.1089682,4505.0282,4503.5933,4504.7801,4505.0511,4506.4859,4505.2991,43.79068,43.772874,43.787602,43.790964,43.80877,43.794042,-3.6739393e-05,0.01163521,0,3,0.034,0,0.0065866259,0.0056176009,20.648146,0.99999994,0.99999994,0.99999994,0.99999994,0.99999994,0.99999994
0.18,-0.0018449351,0.0062623821,-0.0013996163,-8.3699282e-05,0.00034428173,-5.0955405e-06,-0.00033814864,-2.452956e-05,1.680783,6.325192e-06,5.3190641e-06,0.12525765,4421.9877,4422.4804,4423.8113,4425.3683,4424.8755,4423.5447,42.760197,42.766311,42.782827,42.802147,42.796033,42.779518,-1.4283594e-05,0.012478177,0,3,0.036,0,-0.00044657796,-0.0014435848,20.249699,0.99999998,0.99999998,0.99999998,0.99999998,0.99999998,0.99999998
0.19,-0.0034391971,0.0056893772,-0.003074056,-8.8166094e-05,0.00042595826,-5.5002152e-06,-0.00044195419,-2.3819112e-05,1.7809641,9.0990828e-06,6.5654066e-06,0.14257027,4342.6317,4343.5744,4344.9621,4346.8457,4345.903,4344.5154,41.775436,41.787134,41.804354,41.827729,41.81603,41.798811,1.5164299e-06,0.013336569,0,3,0.038,0,-0.0020559998,-0.0031104251,19.825078,0.99999999,0.99999999,0.99999999,0.99999999,0.99999999,0.99999999
