P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,THR4,THR5,THR6,Phi_sp,The_sp,Psi_sp,Alt_sp,X_sp,Y_sp,Ax,Ay,Az,M1 Status,M2 Status,M3 Status,M4 Status,M5 Status,M6 Status
-0.0303789252684295,-0.12115395179993,-0.0138234119192336,-0.0774799931111647,-0.41208444716405,1.01114510539286,0.36585408482817,17.1360750112668,0.970459736470869,-151.011548250623,104.647987575863,9.0181738529116,3611.97403536885,3613.38045540038,3935.82936481375,3619.7886867565,3618.38226672497,3295.93335731159,32.7084040922372,32.7258569368656,36.7272580762155,32.8053793154534,32.7879264708251,28.7865253314751,0.349065850398866,-0.349065850398866,0,9,0,0,0.00570588227051738,-0.000251253167345533,10.651113798471,1,1,0.7,1,1,1
-0.0308263490140255,-0.117990503699444,-0.0138092421587531,-0.0777663175994755,-0.413287298445722,1.01109594804859,0.325314088904262,17.142790905073,0.992420789145902,-151.15457273185,104.742987272806,9.0163480846996,3612.01814573928,3613.6123849752,3937.67086202641,3623.2577396987,3621.66350046278,3297.60502341156,32.7089514759664,32.7287350463516,36.7501099725307,32.8484282202261,32.8286446498409,28.8072697236618,0.349065850398866,-0.338700549210344,0,9,0,0,0.00554513275292612,-0.000262918801513523,10.6629394663767,1,1,0.7,1,1,1
-0.0312560318653707,-0.114694047279877,-0.0137883579143584,-0.0780560952802535,-0.414458142541142,1.01104460537575,0.284663752002502,17.1495121381199,1.01467971127257,-151.297894511381,104.837668700261,9.01451625434364,3611.43944896019,3613.21664730165,3939.48598300317,3627.29662327795,3625.51942493648,3299.25008923496,32.7017701896181,32.7238241747946,36.7726345552861,32.8985483877438,32.8764944025673,28.8276840220759,0.349065850398866,-0.324589031623123,0,9,0,0,0.00548042298176199,-0.000274838842998393,10.6746078916073,1,1,0.7,1,1,1
-0.0316681223979822,-0.111043383002497,-0.01376090756621,-0.0783490837275327,-0.415594523403433,1.01099092208753,0.243903624026365,17.15623895027,1.03722920793097,-151.441514783169,104.932030741011,9.0126788697347,3610.85790171563,3612.81327145285,3941.27439770918,3631.28489194529,3629.32952220807,3300.86839595173,32.6945535306714,32.7188185179793,36.7948277289435,32.9480404540019,32.923775466694,28.8477662557298,0.349065850398866,-0.310447879927133,0,9,0,0,0.00552490798200367,-0.000286989433855855,10.6861330836215,1,1,0.7,1,1,1
-0.0320628044718389,-0.106846482742116,-0.0137270397363663,-0.0786449685777508,-0.416691925745412,1.01093456105964,0.203032170394794,17.1629715858799,1.06006198716749,-151.585434724606,105.02607231216,9.01083643863636,3610.28896843762,3612.41783661558,3943.03565309485,3635.20642146806,3633.0775532901,3302.45973681083,32.6874934036238,32.7139114044423,36.8166838714242,32.9967043267654,32.9702863259469,28.867513858965,0.349065850398866,-0.296255758210545,0,9,0,0,0.00566399352247604,-0.000299356027333664,10.6975370088209,1,1,0.7,1,1,1
-0.0324402941285136,-0.101938623896223,-0.013686902767658,-0.078943371989946,-0.417744057972964,1.01087502472615,0.162046055238421,17.1697102935939,1.08317029985264,-151.729655493913,105.119792368895,9.00898947062282,3609.7459329208,3612.04377868329,3944.76910456541,3639.04695097883,3636.74910521634,3304.02377933421,32.6807546525464,32.7092695657114,36.8381949836868,33.0443630370648,33.0158481238998,28.8869227059244,0.349065850398866,-0.281993586112622,0,9,0,0,0.00588425190448794,-0.000311936474297836,10.7088382752864,1,1,0.7,1,1,1
-0.0328008365551407,-0.0961805419673712,-0.0136406441173078,-0.079243860792726,-0.418743115331632,1.01081167530198,0.120940404121163,17.1764553263751,1.10654554509136,-151.874178226596,105.21318990977,9.00713847981799,3609.23995496242,3611.70244212334,3946.47385450522,3642.79389453343,3640.33140737251,3305.55999499063,32.6744757639534,32.7050337799481,36.8593499268493,33.0908604007424,33.0603023847478,28.9059862378465,0.349065850398866,-0.267644418146262,0,9,0,0,0.00617311832228973,-0.000324739683226549,10.7200522173973,1,1,0.7,1,1,1
-0.0331447027179762,-0.0894566100035248,-0.0135884097144561,-0.0795459543761139,-0.419680024733312,1.0107437539578,0.0797090498662855,17.1832069417514,1.13017793585985,-152.019004031095,105.306263983256,9.0052839883121,3608.78014119613,3611.4031462121,3948.14869990636,3646.4361571503,3643.81315213433,3307.06759844007,32.6687697458073,32.7013196938859,36.8801337722918,33.1360587356088,33.1035087875302,28.9246947091243,0.349065850398866,-0.253193353408352,0,9,0,0,0.00651883633449923,-0.000337784908085892,10.7311909293682,1,1,0.7,1,1,1
-0.0334721853851961,-0.0816730545572801,-0.0135303433203873,-0.0798491323397885,-0.420544671580163,1.01067039896975,0.0383447625844911,17.1899654022654,1.15405621998044,-152.16413398375,105.399013695382,9.00342653013599,3608.37362502881,3611.15326050831,3949.7920888646,3649.96396000981,3647.1843245303,3308.54549617402,32.6637251194878,32.6982187594102,36.9005272617963,33.1798366922691,33.1453430523467,28.9430345499606,0.349065850398866,-0.238627451209158,0,9,0,0,0.00691040225868589,-0.000351101155155131,10.7422632919846,1,1,0.7,1,1,1
-0.0337835943426584,-0.0727562167201124,-0.0134665859227274,-0.0801528419068412,-0.421326108993849,1.01059066286988,-0.00316053497671792,17.1967309761149,1.17816745164747,-152.309569123193,105.491438218279,9.00156665567727,3608.02565469426,3610.95828855009,3951.40208570054,3653.3686753573,3650.43604150147,3309.99224435102,32.6594070124871,32.6957992721891,36.9205063747213,33.2220872053671,33.185694945665,28.9609878431329,0.349065850398866,-0.223935653195277,0,9,0,0,0.00733750852510884,-0.000364726700040174,10.7532749953592,1,1,0.7,1,1,1
-0.0340792506814585,-0.0626508657257249,-0.0133972751883269,-0.0804565051077665,-0.422012749938464,1.01050352862446,-0.0448155656256796,17.2035039379764,1.20249680887873,-152.455310444268,105.583536799469,8.9997049364264,3607.73968848165,3610.82195881479,3952.97634443632,3656.64267153778,3653.56040120463,3311.4060155831,32.6558583401376,32.6941075004318,36.9400419988623,33.2627155705572,33.224466410263,28.9785319118324,0.349065850398866,-0.209108712510231,0,9,0,0,0.00779048655201198,-0.000378708708820286,10.7642285603303,1,1,0.7,1,1,1
