P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,THR4,THR5,THR6,Phi_sp,The_sp,Psi_sp,Alt_sp,X_sp,Y_sp,Ax,Ay,Az,M1 Status,M2 Status,M3 Status,M4 Status,M5 Status,M6 Status
0,0,0,0,0,0,0,0,0,0,0,3,3354.3952822207,3354.3952822207,3354.3952822207,3354.3952822207,3354.3952822207,3354.3952822207,29.5120034029174,29.5120034029174,29.5120034029174,29.5120034029174,29.5120034029174,29.5120034029174,-0,0,0,3,0,0,0,0,9.81,0,0,0,0,0,0
9.7389009763713e-18,0,0,4.86945048818565e-20,0,0,0,-3.11228785784908e-21,-0.0471537055736614,0,0,2.99968026645149,3380.13549206707,3380.13549206707,3380.13549206707,3380.13549206707,3380.13549206707,3380.13549206707,29.8314242537857,29.8314242537857,29.8314242537857,29.8314242537857,29.8314242537857,29.8314242537857,-3.21188106930025e-20,0,0,3,0,0,0,6.2568957635696e-19,5.09462944263386,0.625,0.625,0.625,0.625,0.625,0.625
1.94778019527426e-17,-1.23291725472486e-36,5.19993056493064e-71,1.46083514645569e-19,1.23291725472486e-38,-1.80108885837374e-57,5.50464776679804e-40,-1.33757395427294e-20,-0.0444134099190892,-2.10761899402302e-42,-5.05026392292489e-23,2.99919430840743,3393.75199869623,3393.75199869623,3393.75199869623,3393.75199869623,3393.75199869623,3393.75199869623,30.0003970849825,30.0003970849825,30.0003970849825,30.0003970849825,30.0003970849825,30.0003970849825,-1.0693091434703e-19,-5.68012205725749e-39,0,3,0,0,-1.11446455901148e-38,1.271809712635e-18,10.0840295654572,0.859375,0.859375,0.859375,0.859375,0.859375,0.859375
0,-4.93166901889942e-36,5.19993056493064e-71,2.43472524409282e-19,-1.84937588208728e-38,-9.90598872105556e-57,-1.21091214698549e-39,-3.61835809200147e-20,-0.0260514609693579,-9.60409148428235e-43,-2.37464049146929e-22,2.99883371327769,3384.01761564513,3384.01761564513,3384.01761564513,3384.01761564513,3384.01761564513,3384.01761564513,29.8795991219737,29.8795991219737,29.8795991219737,29.8795991219737,29.8795991219737,29.8795991219737,-2.39733148162984e-19,1.80015684546158e-38,0,3,0,0,1.33763264625883e-37,1.07681326726535e-19,11.6461948949731,0.947265625,0.947265625,0.947265625,0.947265625,0.947265625,0.947265625
1.94778019527426e-17,-8.63042078307399e-36,5.19993056493064e-71,3.40861534172995e-19,-6.78104490098671e-38,-2.19132477768805e-56,-6.19579128336911e-39,-6.05499901114174e-20,-0.00417898372300899,-2.91199762822317e-41,-6.81614394688911e-22,2.99868129880311,3367.52658733749,3367.52658733749,3367.52658733749,3367.52658733749,3367.52658733749,3367.52658733749,29.674955168985,29.674955168985,29.674955168985,29.674955168985,29.674955168985,29.674955168985,-2.63258205355981e-19,5.18407629669245e-38,0,3,0,0,2.0279897912362e-37,9.88608148417318e-19,11.9972477246349,0.980224609375,0.980224609375,0.980224609375,0.980224609375,0.980224609375,0.980224609375
1.94778019527426e-17,-2.46583450944971e-36,1.29998264123266e-70,5.35639553700421e-19,-1.35620898019734e-37,-4.3826495553761e-56,-1.75580818123988e-38,-1.08041112902814e-19,0.0170101928326136,-1.46515750456889e-40,-1.52016650952589e-21,2.99874658130863,3350.1187090272,3350.1187090272,3350.1187090272,3350.1187090272,3350.1187090272,3350.1187090272,29.4589336472153,29.4589336472153,29.4589336472153,29.4589336472153,29.4589336472153,29.4589336472153,-5.09970837325918e-19,1.19288376510411e-37,0,3,0,0,1.52267636171572e-37,1.74190575489833e-19,11.9289176555623,0.992584228515625,0.992584228515625,0.992584228515625,0.992584228515625,0.992584228515625,0.992584228515625
1.94778019527426e-17,-7.39750352834914e-36,1.75497656566409e-70,7.30417573227848e-19,-1.84937588208728e-37,-7.62460950044883e-56,-3.12432345863059e-38,-1.64926224452496e-19,0.0361674588521457,-4.30328867559115e-40,-3.04476151438775e-21,2.99901432150533,3333.77886569941,3333.77886569941,3333.77886569941,3333.77886569941,3333.77886569941,3333.77886569941,29.2561658108236,29.2561658108236,29.2561658108236,29.2561658108236,29.2561658108236,29.2561658108236,-6.22601831006223e-19,1.46987068044308e-37,0,3,0,0,1.78173558466739e-37,7.72422637740919e-19,11.7257266019532,0.997219085693359,0.997219085693359,0.997219085693359,0.997219085693359,0.997219085693359,0.997219085693359
-3.89556039054852e-17,-3.69875176417457e-36,1.75497656566409e-70,6.33028563464135e-19,-2.52748037218596e-37,-1.26076220086162e-55,-4.96750804675988e-38,-2.41757025454134e-19,0.0529633874703876,-9.30164208514492e-40,-5.38887173344566e-21,2.99946195927116,3319.10644304733,3319.10644304733,3319.10644304733,3319.10644304733,3319.10644304733,3319.10644304733,29.0740896834027,29.0740896834027,29.0740896834027,29.0740896834027,29.0740896834027,29.0740896834027,-8.47394697116404e-19,2.00512137109285e-37,0,3,0,0,4.40375234142376e-37,5.90150851208535e-19,11.4895928618242,0.99895715713501,0.99895715713501,0.99895715713501,0.99895715713501,0.99895715713501,0.99895715713501
-3.89556039054852e-17,2.46583450944971e-36,9.74986980924496e-71,3.40861534172995e-19,-2.83570968586717e-37,-1.45287834575482e-55,-7.54930225153204e-38,-3.07132009512199e-19,0.0674271116194765,-1.71620526486956e-39,-8.44971659535299e-21,3.00006582069726,3306.20657267756,3306.20657267756,3306.20657267756,3306.20657267756,3306.20657267756,3306.20657267756,28.9140098862995,28.9140098862995,28.9140098862995,28.9140098862995,28.9140098862995,28.9140098862995,-7.54735992935064e-19,2.82886373366876e-37,0,3,0,0,3.66301095767362e-37,-5.66982902830126e-19,11.2563724149089,0.999608933925629,0.999608933925629,0.999608933925629,0.999608933925629,0.999608933925629,0.999608933925629
-2.92167029291139e-17,-1.23291725472485e-36,9.74986980924496e-71,4.86945048818563e-20,-2.52748037218595e-37,-1.38984023571174e-55,-1.04425056449055e-37,-3.47803449857893e-19,0.0797070412966168,-2.80958606437645e-39,-1.18709202907715e-20,3.00080326005775,3295.01288191925,3295.01288191925,3295.01288191925,3295.01288191925,3295.01288191925,3295.01288191925,28.7751027737423,28.7751027737423,28.7751027737423,28.7751027737423,28.7751027737423,28.7751027737423,-5.21810201904515e-19,3.23635424941641e-37,0,3,0,0,-5.12017334796674e-37,-1.26067399475654e-18,11.037992967714,0.999853350222111,0.999853350222111,0.999853350222111,0.999853350222111,0.999853350222111,0.999853350222111
