Time,Accel_AccelX,Accel_AccelY,Accel_AccelZ,AttitudeEuler_Pitch,AttitudeEuler_Roll,AttitudeEuler_Yaw,AttitudeRate_BodyRotationRateX,AttitudeRate_BodyRotationRateY,AttitudeRate_BodyRotationRateZ,Barometer_PressAbs,Barometer_PressAltitude,Barometer_Temperature,FlightMode_mode,FlightMode_type,GPS_Altitude,GPS_CourseAngle,GPS_GroundSpeed,GPS_Latitude,GPS_Longitude,GPS_SatellitesVisible,Gyro_GyroX,Gyro_GyroY,Gyro_GyroZ,Mag_MagX,Mag_MagY,Mag_MagZ
542.16 sec,-0.238755340315399,0.0233472922003518,-9.70096742970944,0.0008034115,0.003262931,1.835316,0.00586526730740645,-0.00410782970598778,0.0460298502112806,101525.878491268,0.55246513624524,48.6769973723407,5,2,0.699715563494086,45.8906593322754,0.0230000019073486,37.2529612353417,126.316355076145,17,0.000368937390589872,-0.000118177284919562,-0.000151274211363614,-0.110202663448742,-0.271402006551701,0.423800684683051
542.17 sec,-0.239232411887542,0.0260543297525973,-9.70429294293242,0.0007913483,0.003260493,1.835331,0.00680033351663309,-0.00225238215837266,0.047271012008515,101526.147963235,0.528451803633541,48.6779971523693,5,2,0.700927232045635,45.8906593322754,0.0222999353310839,37.2529612353417,126.316355076145,17,0.000311966109684359,-7.5151707335506e-05,-0.000263562690370067,-0.110602995744557,-0.271702255773561,0.423900767757004
542.18 sec,-0.23970612807218,0.0287725718465922,-9.70763623862155,0.0007792852,0.003258055,1.835346,0.00773539972585974,-0.000396934610757541,0.0485121738057495,101526.417435202,0.504438471021843,48.6789969323978,5,2,0.702138900597183,45.8906593322754,0.0215998687548191,37.2529612353417,126.316355076145,17,0.0002541081029116,-3.22387827665784e-05,-0.000376127261814775,-0.111002493562989,-0.271995036337764,0.424002508429691
542.19 sec,-0.240179844256819,0.0314908139405871,-9.71097953431068,0.000767222,0.003255617,1.83536,0.00866381457676482,0.00143431055641484,0.0497496244302921,101526.686907168,0.480425138410144,48.6799967124264,5,2,0.703350569148732,45.8906593322754,0.0208998021785544,37.2529612353417,126.316355076145,17,0.000196250096138841,1.06741418023493e-05,-0.000488691833259484,-0.111302286720717,-0.271395450022307,0.424302301587419
542.2 sec,-0.240639687281344,0.0341875636771984,-9.71429749734593,0.0007598874,0.003264386,1.835384,0.00801523355989476,-0.00247267879982482,0.050107178991995,101526.548754533,0.492777129992522,48.6799989119172,5,2,0.70456223770028,45.8906593322754,0.0201997356022896,37.2529612353417,126.316355076145,17,0.000138740387010536,5.38299538406242e-05,-0.000600018201528164,-0.111602079878445,-0.270795863706851,0.424602094745147
542.21 sec,-0.238030506666106,0.0321297692187586,-9.71201136491944,0.00075256,0.003273172,1.835407,0.00736665254301715,-0.00637966815610996,0.0504647335537019,101526.409703157,0.505209300762062,48.6799989119172,5,2,0.705773906251829,45.8906593322754,0.0194996690260249,37.2529612353417,126.316355076145,17,0.000158281162108939,0.000150717387162638,-0.000437428981209825,-0.111901873036173,-0.270196277391395,0.424901887902875
542.22 sec,-0.235421326050868,0.0300719747603187,-9.70972523249296,0.0007452324,0.003281958,1.83543,0.00671807152613955,-0.0102866575123951,0.0508222881154089,101526.270651781,0.517641471531602,48.6799989119172,5,2,0.706985574803377,45.8906593322754,0.0187996024497601,37.2529612353417,126.316355076145,17,0.000177821937207341,0.000247604820484652,-0.000274839760891486,-0.112201666193901,-0.269596691075939,0.425201681060603
542.23 sec,-0.232812145435599,0.028014180301855,-9.70743910006645,0.000737905,0.003290744,1.835453,0.00606949050926194,-0.0141936468686803,0.0511798426771159,101526.131600405,0.530073642301141,48.6799989119172,5,2,0.70819724335494,45.8906593322754,0.0180995358734872,37.2529612353417,126.316355076145,17,0.000197362712305971,0.000344492253807793,-0.000112250540571254,-0.112501459351625,-0.26899710476049,0.425501474218328
542.24 sec,-0.230202964820392,0.0259563858434391,-9.70515296764,0.0007305775,0.00329953,1.835477,0.00542090949238433,-0.0181006362249654,0.0515373972388229,101525.992549028,0.542505813070681,48.6799989119172,5,2,0.709408911906489,45.8906593322754,0.0173994692972225,37.2529612353417,126.316355076145,17,0.000216903487404146,0.000441379687128679,5.03386797451921e-05,-0.112801252509353,-0.268397518445034,0.425801267376056
542.25 sec,-0.234013994064606,0.0265071426978311,-9.70747598814497,0.00072325,0.003308316,1.8355,0.00477232847550673,-0.0220076255812505,0.0518949518005298,101525.853497652,0.554937983840221,48.6799989119172,5,2,0.710620580458037,45.8906593322754,0.0166994027209577,37.2529612353417,126.316355076145,17,0.000255766631406738,0.00016839406060944,4.58320298097366e-05,-0.113101045667081,-0.267797932129578,0.426101060533784
542.26 sec,-0.23792146948891,0.0270970859363441,-9.70986824862861,0.0007159226,0.003317103,1.835523,0.00412374745862912,-0.0259146149375357,0.0522525063622368,101525.714446276,0.567370154609761,48.6799989119172,5,2,0.711832249009572,45.8906593322754,0.0159993361447011,37.2529612353417,126.316355076145,17,0.000294920041414941,-0.000110147901998582,3.88152191867838e-05,-0.11340083882481,-0.267198345814122,0.426400853691512
542.27 sec,-0.241828944913213,0.027687029174857,-9.71226050911224,0.000708595,0.003325888,1.835546,0.00347516644175151,-0.0298216042938208,0.0526100609239438,101525.5753949,0.579802325379301,48.6799989119172,5,2,0.71304391756112,45.8906593322754,0.0152992695684364,37.2529612353417,126.316355076145,17,0.000334073451423144,-0.000388689864606605,3.1798408563831e-05,-0.113700631982541,-0.266598759498659,0.426700646849243
542.28 sec,-0.245736420337517,0.0282769724133699,-9.71465276959588,0.0007012676,0.003334675,1.83557,0.00282658542486636,-0.0337285936501515,0.0529676154856549,101525.436343523,0.59223449614884,48.6799989119172,5,2,0.714255586112669,45.8906593322754,0.0145992029921716,37.2529612353417,126.316355076145,17,0.000373226861431346,-0.000667231827214627,2.47815979408782e-05,-0.11399944569673,-0.266000992140786,0.426998900845453
