Time,Accel_AccelX,Accel_AccelY,Accel_AccelZ,AttitudeEuler_Pitch,AttitudeEuler_Roll,AttitudeEuler_Yaw,AttitudeRate_BodyRotationRateX,AttitudeRate_BodyRotationRateY,AttitudeRate_BodyRotationRateZ,Barometer_PressAbs,Barometer_PressAltitude,Barometer_Temperature,FlightMode_mode,FlightMode_type,GPS_Altitude,GPS_CourseAngle,GPS_GroundSpeed,GPS_Latitude,GPS_Longitude,GPS_SatellitesVisible,Gyro_GyroX,Gyro_GyroY,Gyro_GyroZ,Mag_MagX,Mag_MagY,Mag_MagZ
476.9 sec,-0.291245639324188,0.0122397597879171,-9.75817394256592,-0.006500185,0.01544322,1.818176,0.015323375351727,-0.0274558924138546,0.0587318055331707,101482.84375,0.412555038928986,45.939998973161,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,-0.00100782734807581,-0.000352020404534414,0.000340387370670214,-0.10600000503473,-0.277000013156794,0.433000020566396
476.93 sec,-0.291245639324188,0.0122397597879171,-9.75817394256592,-0.006500185,0.01544322,1.818176,0.015323375351727,-0.0274558924138546,0.0587318055331707,101482.84375,0.412555038928986,45.939998973161,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,-0.00100782734807581,-0.000352020404534414,0.000340387370670214,-0.10600000503473,-0.277000013156794,0.433000020566396
476.95 sec,-0.291245639324188,0.0122397597879171,-9.75817394256592,-0.006500185,0.01544322,1.818176,0.015323375351727,-0.0274558924138546,0.0587318055331707,101482.84375,0.412555038928986,45.939998973161,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,-0.00100782734807581,-0.000352020404534414,0.000340387370670214,-0.10600000503473,-0.277000013156794,0.433000020566396
476.99 sec,-0.284084528684616,0.0119631690904498,-9.75518894195557,-0.006500185,0.01544322,1.818176,0.015323375351727,-0.0274558924138546,0.0587318055331707,101482.84375,0.412555038928986,45.939998973161,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,0.00035596831003204,0.000215395310078748,0.000439919618656859,-0.10600000503473,-0.277000013156794,0.433000020566396
477.01 sec,-0.284084528684616,0.0119631690904498,-9.75518894195557,-0.006500185,0.01544322,1.818176,0.015323375351727,-0.0274558924138546,0.0587318055331707,101482.84375,0.412555038928986,45.939998973161,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,0.00035596831003204,0.000215395310078748,0.000439919618656859,-0.10600000503473,-0.277000013156794,0.433000020566396
477.01 sec,-0.284084528684616,0.0119631690904498,-9.75518894195557,-0.006500185,0.01544322,1.818176,0.015323375351727,-0.0274558924138546,0.0587318055331707,101482.84375,0.412555038928986,45.939998973161,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,0.00035596831003204,0.000215395310078748,0.000439919618656859,-0.10600000503473,-0.277000013156794,0.433000020566396
477.01 sec,-0.284371346235275,0.01189967058599,-9.75207138061523,-0.006500185,0.01544322,1.818176,0.015323375351727,-0.0274558924138546,0.0587318055331707,101482.84375,0.412555038928986,45.939998973161,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,-0.000782285467721522,-0.000330957147525623,-0.00025722908321768,-0.10600000503473,-0.277000013156794,0.433000020566396
477.01 sec,-0.284371346235275,0.01189967058599,-9.75207138061523,-0.006500185,0.01544322,1.818176,0.015323375351727,-0.0274558924138546,0.0587318055331707,101482.84375,0.412555038928986,45.939998973161,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,-0.000782285467721522,-0.000330957147525623,-0.00025722908321768,-0.10600000503473,-0.277000013156794,0.433000020566396
477.03 sec,-0.284371346235275,0.01189967058599,-9.75207138061523,-0.006500185,0.01544322,1.818176,0.015323375351727,-0.0274558924138546,0.0587318055331707,101482.84375,0.412555038928986,45.939998973161,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,-0.000782285467721522,-0.000330957147525623,-0.00025722908321768,-0.10600000503473,-0.277000013156794,0.433000020566396
477.07 sec,-0.281158745288849,0.00685658864676952,-9.75582504272461,-0.006219193,0.01488242,1.818444,0.0247773732990026,0.0117318276315928,0.0536753796041012,101483.3984375,0.361692100763321,45.9499989729375,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,-0.000967303931247443,-0.000524844333995134,0.000406278530135751,-0.103000004892237,-0.274000013014302,0.433000020566396
477.11 sec,-0.285410910844803,0.0070231556892395,-9.74655055999756,-0.006219193,0.01488242,1.818444,0.0247773732990026,0.0117318276315928,0.0536753796041012,101483.3984375,0.361692100763321,45.9499989729375,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,0.000172999876667745,0.000221056514419615,-0.00026105681899935,-0.103000004892237,-0.274000013014302,0.433000020566396
477.11 sec,-0.285410910844803,0.0070231556892395,-9.74655055999756,-0.006219193,0.01488242,1.818444,0.0247773732990026,0.0117318276315928,0.0536753796041012,101483.3984375,0.361692100763321,45.9499989729375,5,2,0.356017167396991,91.9829406738281,0.0190000012516975,37.252987935342,126.316358176145,16,0.000172999876667745,0.000221056514419615,-0.00026105681899935,-0.103000004892237,-0.274000013014302,0.433000020566396
