Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
0,1000,16.65190315246582,-0.5023664832115173,0.12654357859354043,-0.2052718847990036,0,-8.365358352661133,0,0,0,-15.127096509075018
0.01,1000,16.651899337768555,-0.501485288143158,0.126553996255142,-0.20526857674121857,0,-8.350682258605957,0,0,0,-15.154929109360307
0.02,1000,16.651901245117188,-0.5014748573303223,0.1265387040517642,-0.20527438819408417,0,-8.350509643554688,0,0,0,-15.153411133289715
0.03,1000,16.651901245117188,-0.5023325681686401,0.12654615565802063,-0.20527471601963043,0,-8.364791870117188,0,0,0,-15.12842910668654
0.04,1000,16.651906967163086,-0.5036303400993347,0.12654220496954863,-0.20526260137557983,0,-8.386405944824219,0,0,0,-15.088967806833457
0.05,1000,16.651899337768555,-0.5036070346832275,0.1265457666671557,-0.20528270304203033,0,-8.386013984680176,0,0,0,-15.09009679203911
0.06,1000,16.651905059814453,-0.5010933876037598,0.126541524235535,-0.20527863502502441,0,-8.344159126281738,0,0,0,-15.16528143265253
0.07,1000,16.651905059814453,-0.4990940988063812,0.12652242721525955,-0.20527063310146332,0,-8.310867309570312,0,0,0,-15.223733388091434
0.08,1000,16.651905059814453,-0.495234876871109,0.12652957492240274,-0.20524680614471436,0,-8.246603965759277,0,0,0,-15.343234116891804
0.09,1000,16.65190887451172,-0.49320557713508606,0.12654399189633445,-0.20526215434074402,0,-8.212814331054688,0,0,0,-15.408115058071116
0.1,1000,16.651906967163086,-0.4914138913154602,0.12653922675823898,-0.20526203513145447,0,-8.182978630065918,0,0,0,-15.463711881341213
0.11,1000,16.651901245117188,-0.48970139026641846,0.12653657675797159,-0.2052484154701233,0,-8.154458999633789,0,0,0,-15.51747011497626
0.12,1000,16.651906967163086,-0.48754018545150757,0.12657286231209142,-0.20523293316364288,0,-8.118474006652832,0,0,0,-15.590720437733962
0.13,1000,16.651901245117188,-0.48394206166267395,0.1265682916694284,-0.2052283138036728,0,-8.058555603027344,0,0,0,-15.706075982629857
0.14,1000,16.65190887451172,-0.48303020000457764,0.1265655930453029,-0.20523478090763092,0,-8.043375015258789,0,0,0,-15.735384013109881
0.15,1000,16.65190315246582,-0.4817963242530823,0.12656350221940388,-0.20523624122142792,0,-8.022826194763184,0,0,0,-15.775425760269234
