Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
5.983033,1000,15.73435115814209,0.041106000542640686,0.1276164397109631,0.20473647117614746,0,0.6467762589454651,0,0,0,197.31156830261722
10.983033,1000,15.734735488891602,0.022368906065821648,0.12758259750571366,0.2046404778957367,0,0.35196882486343384,0,0,0,362.482669142178
15.983033,1090,15.732927322387695,0.12161049246788025,0.13621088897261163,0.20701591670513153,1156.5182295140407,1.9132890701293945,25.071760177612305,200,5.432840915129179,71.19200798580384
20.983033,1180,15.727143287658691,0.2710690498352051,0.16241084597390373,0.21338199079036713,2252.670555017673,4.263141632080078,50.33662033081055,200,3.2264949858070415,38.09651628648022
25.983033,1270,15.714929580688477,0.6673585772514343,0.20946139406978112,0.22323091328144073,3245.168221098596,10.487493515014648,75.86128234863281,200,2.761110721534707,19.972492840850304
30.983033,1360,15.69489574432373,1.2149741649627686,0.2618948828463951,0.23494075238704681,4149.8192361379415,19.068893432617188,102.09774780273438,200,2.5651387192502755,13.734141494676992
35.983033,1450,15.663531303405762,2.047126293182373,0.33307282030325636,0.24932746589183807,5042.714603137643,32.06522750854492,131.66281127929688,200,2.5297411203519333,10.387352223510156
40.983033,1540,15.619495391845703,3.2122650146484375,0.4098764652084679,0.2652038633823395,5889.268138379886,50.17395782470703,163.5572509765625,200,2.5060121077799975,8.169107504283339
45.983033,1630,15.564130783081055,4.544795036315918,0.4980899658520542,0.28128495812416077,6658.951118362925,70.73578643798828,196.1466827392578,200,2.5393749121783107,7.041555182948018
50.983033,1720,15.497230529785156,6.108315944671631,0.5858091077301649,0.29737985134124756,7348.823101114473,94.66197967529297,228.8537139892578,200,2.5597536269638175,6.1884305985905925
55.983033,1810,15.418447494506836,7.915788173675537,0.672302053154281,0.31420761346817017,7989.485082644615,122.04916381835938,262.88397216796875,200,2.557409805053021,5.508452913870579
60.983033,1900,15.329002380371094,9.92126178741455,0.7592967967941646,0.3295561969280243,8584.353104657923,152.08303833007812,296.2550048828125,194.7981834411621,2.56298388460052,4.992646088604803
65.983033,1990,15.285175323486328,10.305411338806152,0.7666696810243042,0.3319907784461975,8665.038948945985,157.52001953125,301.2486877441406,191.24469757080078,2.544972733844031,4.867125498245213
70.983033,2000,15.258164405822754,10.221135139465332,0.7604878868225988,0.3309473693370819,8641.622073401784,155.9557647705078,299.4903259277344,192.03543663024902,2.5392736757862155,4.876305150834255
75.983033,1990,15.235522270202637,10.175081253051758,0.7591777169656361,0.33042559027671814,8621.581023408322,155.02267456054688,298.32470703125,192.43940114974976,2.5448033100884047,4.89720429285117
80.983033,1900,15.227119445800781,9.735493659973145,0.7401808618379034,0.327970951795578,8499.86362819719,148.2435302734375,291.9281311035156,196.92469835281372,2.5354899418895402,4.9930062090539815
85.983033,1810,15.268524169921875,7.729942321777344,0.6498936508933432,0.3115944266319275,7882.5794717430335,118.02481079101562,257.20928955078125,200,2.5267114361299634,5.506415650190256
90.983033,1720,15.313871383666992,5.933597564697266,0.5647662092767268,0.29511404037475586,7241.355046902037,90.86634826660156,223.78878784179688,200,2.523657250041989,6.215350741788402
95.983033,1630,15.358834266662598,4.397224426269531,0.48945466039362284,0.27945035696029663,6542.839505290433,67.53623962402344,191.469482421875,200,2.556306461335046,7.247289564371114
100.983033,1540,15.40227222442627,3.098862886428833,0.4095925991247808,0.2637082636356354,5784.586655638114,47.729530334472656,159.74404907226562,200,2.564055508848552,8.58153430908399
105.983033,1450,15.441750526428223,1.9988617897033691,0.3292360332188888,0.24833504855632782,4961.98795985294,30.865924835205078,129.03939819335938,200,2.551437997541081,10.666650703525363
110.983033,1360,15.475947380065918,1.2049970626831055,0.2632985320705878,0.23459021747112274,4087.6715816598867,18.64847183227539,100.4186782836914,200,2.622007550246191,14.119040358053372
115.983033,1270,15.5030517578125,0.6558346748352051,0.20686794334939443,0.2230513095855713,3202.428066480431,10.167438507080078,74.80192565917969,200,2.7655430901011853,20.346121605612502
120.983033,1180,15.524386405944824,0.2904420793056488,0.16337635776856857,0.21359823644161224,2227.167393638032,4.50893497467041,49.81718063354492,200,3.279518163461961,36.233912543503436
